Id,Label,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
70077506,arievlavczczki,0,0,1,1,1,1,1,0,0.000227
1298558078053310464,htuxwk,0,0,1,1,1,1,1,0,0.000227
878127031,trpsichorpe,0,0,1,1,1,1,1,0,0.000227
813067495401627648,kminiberdosabgt,0,0,1,1,1,1,1,0,0.000227
1299949602494230528,yourlvrs,0,0,1,1,1,1,1,0,0.000227
1156522390211268609,Yuppimphii,0,0,1,1,1,1,1,0,0.000227
1165560097,MurtyMahendra,0,0,1,1,1,1,1,0,0.000227
599702879,homo_sapi3n,0,0,1,1,1,1,1,0,0.000227
1500626850351321089,bolo_tole,0,0,1,1,1,1,1,0,0.000227
1541448024115019776,RichGlow2,0,0,1,1,1,1,1,0,0.000227
2322114679,rompis__,0,0,1,1,1,1,1,0,0.000227
1183252386044768256,altaleyta,0,0,1,1,1,1,1,0,0.000227
158646565,rahardianrd,0,0,1,1,1,1,1,0,0.000227
1288689400730157056,yjxva,0,0,1,1,1,1,1,0,0.000227
1253139824,maspongki_,0,0,1,1,1,1,1,0,0.000227
796352834,dimasenno,0,0,1,1,1,1,1,0,0.000227
454574259,wildanAuliaH,0,0,1,1,1,1,1,0,0.000227
1407298446017454084,nuet_note,0,0,1,1,1,1,1,0,0.000227
82577062,ratna_n,0,0,1,1,1,1,1,0,0.000227
1035891421,unstableprs,0,0,1,1,1,1,1,0,0.000227
235013091,aendeerye,137,0,1,1,1,1,1,0,0.000227
181095267,RR_Rizky,0,0,1,1,1,1,1,0,0.000227
1242970764891942912,Nikkontol,137,0,1,1,1,1,1,0,0.000227
966741000080117760,tartagIiac,0,0,1,1,1,1,1,0,0.000227
1445104255,Upio_89,137,0,2,2,1,1,1,0,0.000227
1247186912554536961,taehyunyie,0,0,1,1,1,1,1,0,0.000227
824532332,Tambalannn,0,0,1,1,1,1,1,0,0.000227
2607267206,PaulBoetar,0,0,1,1,1,1,1,0,0.000227
369307187,rezzashin,0,0,1,1,1,1,1,0,0.000227
1539266505270960128,grrrlv,137,0,2,2,1,1,1,0,0.000227
2304693108,Taufik_WahyuD,137,0,1,1,1,1,1,0,0.000227
1567005279547695106,zeuwra,0,0,1,1,1,1,1,0,0.000227
2697537900,pixuie,0,0,1,1,1,1,1,0,0.000227
1173923248251129857,aariesgutl,0,0,1,1,1,1,1,0,0.000227
1206334310581538817,suckrific3,137,0,1,1,1,1,1,0,0.000227
1097872958402392065,elzioral,0,0,1,1,1,1,1,0,0.000227
1062840155516493824,aishindeiru,0,0,1,1,1,1,1,0,0.000227
1243783851081469952,alicegiveslove,0,0,1,1,1,1,1,0,0.000227
